"Item Code","Item","Description","HS Code","HS07 Code","HS12 Code","CPC Code"
"1059","Offals, liver chicken","Fresh, chilled or frozen.","","020713, 020714, 020732, 020733, 020735, 020736","020713, 020714, 020760","21160.01"
"1075","Offals, liver duck","Fresh, chilled or frozen, salted or in brine.","","020734, 020735, 020736","020743, 020744, 020745","21160.03"
"1074","Offals, liver geese","Fresh, chilled or frozen, salted or in brine.","","020734, 020735, 020736","020753, 020754, 020755","21160.02"
"1159","Offals, other camelids","","","","",""
"1036","Offals, pigs, edible","Fresh, chilled or frozen.","","020630, 020641, 020649, 050400","020630, 020641, 020649, 050400","21153"
"978","Offals, sheep,edible","Fresh, chilled or frozen.","","020680, 020690, 050400","020680, 020690, 050400","21155"
"1274","Oil, boiled etc","Also includes oxidized and sulphurized oils. Animal and vegetable fats and oils whose chemical structure has been modified to improve viscosity, drying ability or other properties.","","151800","151800","34550"
"266","Oil, castor beans","Obtained by pressure or by solvent. Uses include mainly industrial ones, in pharmaceuticals and cosmetics.","","151530","151530","21691.04"
"737","Oil, citronella","Essential oil extracted from Cymbopogon nardus.","","330129","330129","35410.01"
"252","Oil, coconut (copra)","Obtained by pressure from copra and by solvent from the residues of pressure extraction. Has both food and industrial uses.","","151311, 151319","151311, 151319","2166"
"331","Oil, cottonseed","Obtained first by pressure extraction from the kernels of cotton seeds. The residue from this process is then exposed to a solvent. Used mainly as a food.","","151221, 151229","151221, 151229","2168"
"753","Oil, essential nes","Extracted from many plants and used mainly in the perfumery, food and other industries.","","330112, 330113, 330119, 330124, 330125, 330129, 330130, 330190","330112, 330113, 330119, 330124, 330125, 330129, 330130, 330190","35410.90"
"244","Oil, groundnut","Obtained by pressure or solvent extraction. Used mainly for food.","","150810, 150890","150810, 150890","2162"
"313","Oil, kapok","Obtained from shelled seeds by pressure. Used for food and soap.","","151590","151590","21691.11"
"334","Oil, linseed","Obtained by pressure extraction. Used mainly in non-food items.","","151511, 151519","151511, 151519","21691.12"
"60","Oil, maize","Extracted from germ by pressure or by solvents.","","151521, 151529","151521, 151529","21691.02"
"274","Oil, olive residues","Oil extracted from olive residues with solvents.","","151000","151000","21673"
"261","Oil, olive, virgin","Obtained from olives by mechanical or other physical means. Olive oil is the only vegetable oil that can be consumed without refining.","","150910","150910","2167"
"257","Oil, palm","Obtained from the mesocarp of the fruit of the oil palm by pressure, and also by solvent from the residues of the pressure extraction.","","151110, 151190","151110, 151190","2165"
"258","Oil, palm kernel","Obtained from the kernel of the nut of the fruits of the oil palm by pressure in two or three stages at different temperatures. Including oil of babassu kernels.","","151321, 151329","151321, 151329","21691.14"
"297","Oil, poppy","Obtained by pressure extraction. Has both food and industrial uses.","","151590","151590","21691.08"
"271","Oil, rapeseed","Obtained by pressure extraction for food use. Oil recovered with solvent from the residues of the pressure extraction is used for industrial purposes. Canola oil is produced from new varieties of rapeseed.","","151411, 151419, 151491, 151499","151411, 151419, 151491, 151499","21641.01"
"36","Oil, rice bran","Extracted from bran by pressure or, more frequently, by solvents.","","151590","151590","21691.01"
"281","Oil, safflower","Obtained either by pressure or by solvent. Has both food and industrial uses.","","151211, 151219","151211, 151219","21631.02"
"290","Oil, sesame","Obtained by pressure extraction in two or three stages at different temperatures. Sometimes the oil is also extracted by solvent from the residue of the pressure extraction. Used mainly for food.","","151550","151550","21691.07"
"237","Oil, soybean","Obtained by solvent extraction from the beans. Used mainly for food.","","150710, 150790","150710, 150790","2161"
"268","Oil, sunflower","Obtained by pressure extraction. Mainly for food use.","","151211, 151219","151211, 151219","21631.01"
"340","Oil, vegetable origin nes","Includes, inter alia, myrtle wax and Japan wax.","","150990, 151590","150990, 151590","21691.90"
"1168","Oils, fats of animal nes","Animal oils and fats obtained from other animal species and oils and fats recovered from guts, feet, sweepings, hide trimmings, etc.","","150600","150600","21529.03"
"339","Oilseeds nes","Includes inter alia: beech nut (Fagus sylvatica);(Aleurites moluccana);(Carapa guineensis);(Croton tiglium);(Bassia latifolia);(Guizotia abyssinica);(Licania rigida);(Perilla frutescens);(Jatropha curcas);(Shorea robusta);(Pongamia glabra);(Astrocaryum spp.). Other oilseeds, oleaginous fruits and nuts that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report commodities under this heading that are classified individually by FAO. Also included under this code are tea seeds, grape pips and tomato seeds from which oil is extracted.","","120799","120799","01449.90"
"260","Olives","Olea europaea. Includes table olives and olives for oil.","","070990","070992","01450"
"262","Olives preserved","Treated with SO2, brine, water, or otherwise prepared or preserved.","","071120, 200190, 200490, 200570","071120, 200190, 200490, 200570","F0262"
"403","Onions, dry","Allium cepa. Includes onions at a mature stage, but not dehydrated onions.","","070310","070310","01253.02"
"402","Onions, shallots, green","Shallots (Allium ascalonicum); onions (A. cepa); welsh onions (A. fistulosum). Young onions pulled before the bulb has enlarged; used especially in salads. Includes onion sets.","","070310","070310","01253.01"
"490","Oranges","Common, sweet orange (Citrus sinensis); bitter orange (C. aurantium). Bitter oranges are used primarily in the preparation of marmalade.","","080510","080510","01323"
"600","Papayas","Carica papaya.","","080720","080720","01317"
"22","Pastry","All baked products excluding those listed under bread. Pastry products may contain ingredients other than wheat flour, such as milk, eggs, sugar, honey, starch, fats, fruit, seeds, etc.","","190520, 190531, 190532, 190540, 190590","190520, 190531, 190532, 190540, 190590","F0022"
"534","Peaches and nectarines","Prunus persica; Amygdalus persica; Persica laevis.","","080930","080930","01345"
"247","Peanut butter","Obtained by grinding roasted peanuts. In addition to fat, at 40-46%, peanut butter contains all other components of the nuts.","","200811","200811","21495.02"
"521","Pears","Pyrus communis.","","080820","080830","01342.01"
"187","Peas, dry","Garden pea (Pisum sativum); field pea (P. arvense).","","071310","071310","01705"
"417","Peas, green","Pisum sativum. Mostly for shelling, but including edible- podded peas or sugar peas.","","070810","070810","01242"
"687","Pepper (piper spp.)","Black, white pepper (Piper nigrum); long pepper (P. longum). Perennial climbing vines. Includes whole, crushed or ground berries. Black pepper is produced from partially ripe berries, while white pepper is from fully ripe berries which have had the outer hull removed.","","090411, 090412","090411, 090412","01651"
"748","Peppermint","Mentha spp.: M. piperita. Leaves and flowers are used in the perfumery, food and other industries.","","121190","121190","01930.01"
"587","Persimmons","Diospyros kaki: D. virginiana.","","081090","081070","01359.01"
"843","Pet food","International trade classifications cover only dog and cat food. FAO trade data also cover food for other pets (i.e. fish, birds, etc.), whenever possible.","","230910","230910","23311"
"1034","Pigs","Domestic pig (Sus domestica); wild boar (Sus scrofa). See 866. Excludes non-domesticated wild boars.","","010310, 010391, 010392","010310, 010391, 010392","02140"
"574","Pineapples","Ananas comosus; A. sativ. Trade figures may include dried pineapples.","","080430","080430","01318"
"575","Pineapples canned","Fruit pulp prepared in water, syrup, etc.","","200820","200820","21491"
"223","Pistachios","Pistacia vera. Produced mainly in the Near East and the United States.","","080250","080251, 080252","01375"
"489","Plantains","Musa paradisiaca. Generally known as a cooking banana. Data should be reported excluding the weight of the central stalk.","","080300","080310","01313"
"536","Plums and sloes","Greengage, mirabelle, damson (Prunus domestica); sloe (P. spinosa).","","080940","080940","01346"
"537","Plums dried (prunes)","See 527. Known as prunes.","","081320","081320","21412"
"68","Popcorn","Zea mays var. everta. A variety of maize that is eaten after the kernels have been heated and have ""popped"".","","100510, 100590","100510, 100590",""
"296","Poppy seed","Papaver somniferum. The source of opium, poppy seeds are also used in baking and confectionery.","","120791","120791","01448"
"120","Potato offals","The residue and waste from the preparation of potatoes.","","230800","230800","39130.03"
"116","Potatoes","Solanum tuberosum Irish potato. A seasonal crop grown in temperate zones all over the world, but primarily in the northern hemisphere.","","070110, 070190","070110, 070190","01510"
"118","Potatoes, frozen","Peeled potatoes that are either cooked or uncooked, sliced or unsliced, and then frozen.","","071010","071010","21313"
"394","Pumpkins, squash and gourds","Cucurbita spp. Includes marrows.","","070990","070993","01235"
"754","Pyrethrum, dried","Chrysanthemum cinerariifolium. Includes leaves, stems and flowers. For insecticides, fungicides and similar products.","","121190","121190","01930.02"
"755","Pyrethrum, extraction","Obtained from the flowers by extraction using an organic solvent.","","130219","130219","23999.04"
"523","Quinces","Cydonia oblonga; C. vulgaris; C. japonica.","","080820","080840","01342.02"
"1140","Rabbits and hares","Oryctolagus cuniculus. See 866. May include domesticated hares (Lepus spp.). Data are expressed in thousands.","","010619","010614","02191"
"561","Raisins","Dried grapes. Includes sultanas and currants.","","080620","080620","21411"
"270","Rapeseed","Brassica napus var. oleifera. Valued mainly for its oil. Older varieties are rich in Erucic acid, which is considered unhealthy.","","120510, 120590","120510, 120590","01443"
"30","Rice - total  (Rice milled equivalent)","","","","",""
"1150","Rodents, other","See 866. Includes only those used mainly for meat, e.g. Guinea pig. Rodents used mainly for fur skins are included in Code 1169. Data are expressed in thousands.","","010619","010619","02192.01"
"149","Roots and tubers, nes","Including inter alia: arracacha (Arracacoa xanthorrhiza); arrowroot (Maranta arundinacea); chufa (Cyperus esculentus); sago palm (Metroxylon spp.); oca and ullucu (Oxalis tuberosa and Ullucus tuberosus); yam bean, jicama (Pachyrxhizus erosus, P. angulatus); mashua (Tropaeolum tuberosum); Jerusalem artichoke, topinambur (Helianthus tuberosus). Other tubers, roots or rhizomes, fresh, that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report roots and tubers under this commodity heading that are classified individually by FAO.","","071490","071490","01599.10"
"837","Rubber natural dry","In the form of sheets, crˆpes, re-agglomerated granules, free-flowing powders, etc.; includes technically specified natural rubber (TSNR).","","400121, 400122, 400129","400121, 400122, 400129","01950.02"
"836","Rubber, natural","Hevea brasiliensis Latex. The liquid secreted by the rubber tree. Includes stabilized or concentrated latex and prevulcanized rubber latex. In trade figures, liquid weight is converted to dry weight at 60%.","","400110","400110","01950.01"
"71","Rye","Secale cereale. A grain that is tolerant of poor soils, high latitudes and altitudes. Mainly used in making bread, whisky and beer. When fed to livestock, it is generally mixed with other grains.","","100200","100210, 100290","0116"
"289","Sesame seed","Sesamum indicum. Valued for its oil, but also as a food, either raw or roasted, as well as in bakery products and other food preparations.","","120740","120740","01444"
"976","Sheep","Ovis spp.. See 866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan.","","010410","010410","02122"
"1186","Silk raw","Obtained by reeling the filaments from cocoons. Not thrown.","","500200","500200","26110"
"1185","Silk-worm cocoons, reelable","Silkworm cocoons suitable for reeling. Foreign trade data are expressed in silk equivalent, which is 25% of their weight.","","500100","500100","02944"
"928","Skins, calve, wet salted","See 920.","","410120, 410150, 410190","410120, 410150, 410190","02951.06"
"1025","Skins, goat, fresh","See 919. Both adult and young animals.","","410390","410390","02954"
"1026","Skins, goat, wet salted","Includes kids. See 920.","","410390","410390","02954.01"
"997","Skins, sheep, dry salted","Sheep and lamb skins without wool. See 921.","","410229","410229","02953.04"
"995","Skins, sheep, fresh","See 919. Both adult and young animals.","","410210, 410229","410210, 410229","02953"
"996","Skins, sheep, wet salted","Sheep and lamb skins without wool. See 920.","","410229","410229","02953.03"
"999","Skins, sheep, with wool","Sheep and lamb skins (excluding 1002), with wool on, salted, dried, limed, pickled or otherwise preserved.","","410210","410210","02953.01"
"83","Sorghum","Sorghum spp.: guinea corn (S. guineense); common, milo, feterita, kaffir corn (S. vulgare); durra, jowar, kaoliang (S. dura). A cereal that has both food and feed uses. Sorghum is a major food grain in most of Africa, where it is also used in traditional beer brewing. It is desirable to report hybrid and other varieties separately.","","100700","100710, 100790","0114"
"241","Soya curd","Obtained by precipitating proteins from soya milk and removing the fluid. Can be fermented or non-fermented.","","210610","210610","23999.03"
"240","Soya paste","A fermented, salty condiment. Soya paste can be produced through brine fermentation of low- moisture soya curd.","","210390, 210610","210390, 210610","23995.02"
"239","Soya sauce","A fermented soya product from defatted soybeand and wheat or other cereals that is filtered and pasteurized.","","210310","210310","23995.01"
"236","Soybeans","Glycine soja. The most important oil crop. Also widely consumed as a bean and in the form of various derived products because of its high protein content, e.g. soya milk, meat, etc.","","120100","120110, 120190","0141"
"723","Spices, nes","Including inter alia: bay leaves (Laurus nobilis); dill seed (Anethum graveolens); fenugreek seed (Trigonella foenum-graecum); saffron (Crocus sativus); thyme (Thymus vulgaris); turmeric (Curcuma longa). Other spices that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report spices under this heading that are classified individually by FAO. This heading also includes curry powder and other mixtures of different spices.","","091020, 091030, 091091, 091099","091020, 091030, 091091, 091099","01699"
"373","Spinach","Spinacia oleracea. Trade figures may include New Zealand spinach (Tetragonia espansa) and orache (garden) spinach (Atriplex hortensis).","","070970","070970","01215"
"129","Starch, cassava","See 119. The principal industrial outlet for cassava. Cassava starch is used in the foodstuffs, textile and paper industries for the manufacture of plywood and veneer, adhesives, glucose and dextrine.","","110814","110814","23220.06"
"635","Straw husks","Cereal straw and husks, unprepared, whether or not chopped, ground, pressed, or in the form of pellets.","","121300","121300","01913"
"544","Strawberries","Fragaria spp..","","081010","081010","01354"
"157","Sugar beet","Beta vulgaris var. altissima. In some producing countries, marginal quantities are consumed, either directly as food or in the preparation of jams.","","121291","121291","01801"
"168","Sugar confectionery","Sugar confectionery, including chewing gum, that does not contain cocoa. Includes white chocolate.","","170410, 170490","170410, 170490","23670.01"
"161","Sugar crops, nes","Including inter alia: sugar maple (Acer saccharum); sweet sorghum (Sorghum saccharatum); sugar palm (Arenga saccharifera). Includes minor sugar crops of local importance. In the case of saps, production is to be expressed in liquid equivalent.","","121299","121299","01809"
"171","Sugar flavoured","","","","",""
"163","Sugar non-centrifugal","Generally derived from sugar cane through traditional methods without centrifugation.","","170111","170113","23511.02"
"162","Sugar Raw Centrifugal","The sum of codes 158 and 159. Processed further to obtain refined sugar.","","170111, 170112","170112, 170114","2351f"
"164","Sugar refined","Production covers domestic production, plus or minus imports and/or exports of raw centrifugal sugar in terms of refined sugar.","","170191, 170199","170191, 170199","23520"
"167","Sugar, nes","Includes invert sugar, caramel, golden syrup, artificial honey, maltose other than chemically pure, sorghum and palm sugars. See also the general note in the introduction.","","170290","170290","23210.04"
"267","Sunflower seed","Helianthus annuus. Valued mainly for its oil. Minor uses include as a human food and as feed for birds.","","120600","120600","01445"
"447","Sweet corn frozen","Either uncooked, or cooked by steaming or boiling in water, and then frozen.","","071040","071040","21319.01"
"448","Sweet corn prep or preserved","Prepared or preserved other than by vinegar or acetic acid; not frozen.","","200580","200580","21399.03"
"122","Sweet potatoes","Ipomoea batatas. A seasonal crop grown in tropical and subtropical regions. Used mainly for human food. Trade data cover fresh and dried tubers, whether or not sliced or in the form or pellets.","","071420","071420","01530"
"1225","Tallow","Rendered fats of animals other than pigs, excluding tallow oil or stearine.","","150200","150210","21523"
"495","Tangerines, mandarins, clementines, satsumas","Mandarin, tangerine (Citrus reticulata); clementine, satsuma (C. unshiu).","","080520","080520","01324"
"667","Tea","Camellia sinensis; Thea sinensis; Thea assaamica. Includes green tea (unfermented), black tea (fermented), and partially fermented tea. Excludes green tea eaten as a vegetable.","","090210, 090220, 090230, 090240","090210, 090220, 090230, 090240","01620"
"672","Tea, mate extracts","Includes essences, concentrates and preparations of tea and mat‚.","","210120","210120","23914"
"831","Tobacco products nes","Includes smoking, chewing, snuff tobacco, homogenized or compressed tobacco, manufactured tobacco substitutes, tobacco extracts and essences.","","240310, 240391, 240399","240310, 240391, 240399","25090"
"826","Tobacco, unmanufactured","Nicotiana tabacum. Unmanufactured dry tobacco, including refuse that is not stemmed or stripped, or is partly or wholly stemmed or stripped.","","240110, 240120, 240130","240110, 240120, 240130","01970"
"388","Tomatoes","Lycopersicon esculentum.","","070200","070200","01234"
"391","Tomatoes, paste","Tomatoes prepared or preserved o/t by vinegar, in the form of paste, pur‚e or concentrate. Includes juice of dry weight content of 7% or more.","","200290","200290","21399.01"
"392","Tomatoes, peeled","Prepared or preserved o/t by vinegar; either whole or in pieces.","","200210","200210","21399.02"
"97","Triticale","A minor cereal that is a cross between wheat and rye, combining the quality and yield of wheat with the hardiness of rye.","","100890","100860","01191"
"1079","Turkeys","Meleagris gallopavo. See 1057.","","010512, 010599","010512, 010599","02152"
"646","Turnips for fodder","Brassica rapa var. rapifera. Especially cultivated for fodder.","","121490","121490","01919.05"
"692","Vanilla","Vanilla planifolia; V. pompona. The fruit (or bean) of a climbing plant of the orchid family. Includes whole, crushed or ground.","","090500","090510, 090520","01658"
"306","Vegetable tallow","Obtained by pressure extraction or by solvent from the kernels of the fruit of the Borneo tallow tree and from the outer coating that surrounds the seeds of the fruit of the Chinese tallow tree. Used as a substitute for cocoa butter. Also used in soap, candles, medicines and cosmetics.","","151590","151590","21691.09"
"471","Vegetables in vinegar","Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved with vinegar or acetic acid, with or without added sugar, salt, spices, etc. Includes pickles.","","200110, 200190","200110, 200190","21340"
"465","Vegetables, canned nes","","","","",""
"469","Vegetables, dehydrated","Vegetables that are dried, dehydrated, evaporated or freeze-dried. Includes dried vegetables that are broken or powdered.","","071220, 071290","071220, 071290","21393.90"
"464","Vegetables, dried nes","","","","",""
"463","Vegetables, fresh nes","Including inter alia: bamboo shoots (Bambusa spp.); beets, chards (Beta vulgaris); capers (Capparis spinosa); cardoons (Cynara cardunculus); celery (Apium graveolens); chervil (Anthriscus cerefolium); cress (Lepidium sativum); fennel (Foeniculum vulgare); horseradish (Cochlearia armoracia); marjoram, sweet (Majorana hortensis); oyster plant (Tragopogon porrifolius); parsley (Petroselinum crispum); parsnips (Pastinaca sativa); radish (Raphanus sativus); rhubarb (Rheum spp.); rutabagas, swedes (Brassica napus); savory (Satureja hortensis); scorzonera (Scorzonera hispanica); sorrel (Rumex acetosa); soybean sprouts tarragon (Artemisia dracunculus); watercress (Nasturtium officinale). Other vegetables that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report vegetables under this heading that are classified individually by FAO.","","070690, 070940, 070990","070690, 070940, 070999","01290.90"
"460","Vegetables, fresh or dried products nes","Fruit stones, kernels and other vegetable products used primarily for human food that are not specified or included elsewhere.","","121299","121299","01990.01"
"473","Vegetables, frozen","Vegetables, either uncooked, or cooked by steaming or boiling in water, and then frozen.","","071021, 071022, 071029, 071030, 071080, 071090","071021, 071022, 071029, 071030, 071080, 071090","F0473"
"476","Vegetables, homogenized preparations","Preparations Vegetables prepared for dietetic and infant food.","","200510","200510","23991.02"
"472","Vegetables, preserved nes","Vegetables prepared or preserved o/t by vinegar and which have not been frozen.","","200520, 200540, 200551, 200559, 200560, 200591, 200599","200520, 200540, 200551, 200559, 200560, 200591, 200599","F0472"
"475","Vegetables, preserved, frozen","Vegetables that are prepared or preserved o/t by vinegar, and then frozen.","","200410, 200490","200410, 200490","F0475"
"474","Vegetables, temporarily preserved","Vegetables preserved with SO2, brine, etc., but which are unsuitable for consumption in that state.","","071140, 071151, 071159, 071190","071140, 071151, 071159, 071190","21330.90"
"565","Vermouths & similar","Beverages made with wine of fresh grapes and flavoured with aromatic substances.","","220510, 220590","220510, 220590","24220"
"205","Vetches","Spring/common vetch (Vicia sativa). Used mainly for animal feed.","","121490","121490","01709.01"
"853","Vitamins","See 851.","","230990","230990","23319.09"
"110","Wafers","Communion wafers, empty cachets for pharmaceutical use and sealing wafers.","","190590","190590","23490.01"
"232","Walnuts, shelled","Around 53% of the weight in shell.","","080232","080232","21429.02"
"222","Walnuts, with shell","Jugland spp.: J. regia. Produced in temperate zones of the Northern Hemisphere, particularly in the United States.","","080231","080231","01376"
"567","Watermelons","Citrullus vulgaris.","","080711","080711","01221"
"631","Waters,ice etc","Includes natural or artificial mineral waters without added sugar, sweeteners or flavourings.","","220110, 220190","220110, 220190","17400"
"1296","Waxes vegetable","Including inter alia: candelilla (Euphorbia antisyphilitica; Pedilanthus pavonis); carnauba (Copernicia cerifera); urucury (Attalea excelsa); palm wax (Ceroxylon andicolum). Vegetable waxes, whether crude or refined, bleached or coloured. Excludes mixtures and chemically modified waxes.","","152110","152110","21931"
"15","Wheat","Triticum spp.: common (T. aestivum) durum (T. durum) spelt (T. spelta). Common and durum wheat are the main types. Among common wheat, the main varieties are spring and winter, hard and soft, and red and white. At the national level, different varieties should be reported separately, reflecting their different uses. Used mainly for human food.","","100110, 100190","100111, 100119, 100191, 100199","0111"
"890","Whey, condensed","Whey paste.","","040410","040410","22130.03"
"900","Whey, dry","Used in both food and animal feed.","","040410","040410","22130.02"
"564","Wine","Wines of fresh grapes of all qualities, including sparkling, fortified and dessert wines.","","220410, 220421, 220429","220410, 220421, 220429","24212.02"
"988","Wool, degreased","Includes scoured and carbonized, but does not include carded or combed wool.","","510121, 510129, 510130","510121, 510129, 510130","26130"
"987","Wool, greasy","A natural fibre taken from sheep or lambs. Includes fleece-washed, shorn and pulled wool (from slaughtered animals), but does not include carded or combed wool.","","510111, 510119","510111, 510119","02941"
"1009","Wool, hair waste","Noils of wool or animal hair not garnetted; other waste of wool and animal hair (excluding horsehair) not covered in 1007.","","510310, 510320, 510330","510310, 510320, 510330","F1009"
"892","Yoghurt, concentrated or not","Includes additives such as sugar, flavouring materials, fruit or cocoa.","","040310","040310","22230.02"
